0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Asparaginase Escherichia coli,0.18318424,0.08150537,-0.4557374,0.052900817,0.35996523,-0.061103847,-0.074625894,-0.106880136,0.3054655,0.60814595,0.38771755,0.3255776,-0.13649318,-0.4033962,-0.16721769,0.089672536,0.18628383,-0.19375616,-0.13548842,0.2589925,-0.20673616,0.12096478,0.23515126,-0.4295541,-0.03857484,0.10308635,0.11423624,0.18378459,-0.22949293,-0.3203393,0.25143504,-0.46308646,-0.33389917,0.69715106,-0.18451773,0.21100813,0.39975518,0.2528561,0.0783735,0.7387838,-0.24167164,0.8105516,-0.34804073,0.1204776,-0.27593926,0.26934046,0.018423924,0.33518094,-0.17297007,-0.34225398
Abacavir,0.31106752,0.36008972,-0.026825106,0.27137417,0.40723205,-0.13623016,0.5689059,-0.20389313,0.2824115,0.38364753,0.39736116,-0.18901037,-0.0069799996,-0.41363847,-0.08959988,-0.221825,0.31948462,-0.39603734,0.07422144,0.22718911,-0.2139759,-0.021030333,0.32857755,-0.3773389,0.08934185,-0.069695085,-0.0327444,-0.15341564,-0.36890984,0.078303136,0.24686821,0.019053929,-0.524417,-0.05801089,0.05148168,-0.09092573,0.6842633,-0.29436478,0.15119068,0.3149335,-0.37274438,0.48836637,0.14685252,0.20682731,-0.49810734,-0.03508982,0.2722927,-0.3895776,-0.14635785,-0.27625918
Cladribine,-0.042356912,0.114740305,-0.124945864,-0.15077831,-0.27523106,-0.032450102,0.2436822,-0.28210792,0.11813923,0.24815421,-0.121212624,0.3752746,0.28104138,-0.031199928,-0.3183788,-0.13791417,0.24117592,-0.12671639,-0.20146555,0.38154715,-0.18330018,0.47049206,0.38456583,-0.04878276,0.21658993,0.055861376,0.23906906,0.10523492,0.239863,-0.13040479,0.29658476,0.4652517,-0.35063776,0.27250603,0.03804019,-0.15258504,0.40619767,-0.63165337,-0.25151858,0.5066562,0.38439912,0.65865797,-0.12899551,-0.23743649,-0.15927804,0.0118796555,0.10360205,-0.21952355,-0.10919456,-0.68808013
Clofarabine,-0.030660778,-0.11698983,0.10769615,0.1324708,0.3178206,0.17560016,0.24813712,-0.14639457,0.34060702,0.29858276,0.38312396,-0.43468252,0.044907648,-0.3634534,-0.07831482,0.02397737,0.071623586,-0.42816088,-0.025984358,-0.43412992,-0.30145037,0.6199955,0.14895019,-0.10970258,-0.18184642,0.026658809,-0.0053527076,0.06191724,-0.20864993,-0.50984955,0.12308674,0.043999176,-0.099574685,0.0087845335,-0.010302929,0.3640982,0.9901806,-0.31177965,0.23312916,0.6108612,-0.041402895,0.38113818,-0.13135774,0.70118445,-0.059873365,-0.094649225,0.02324824,-0.056157794,-0.35739008,-0.27002037
Epirubicin,0.07014705,0.022437671,-0.18863998,0.057018194,0.14183071,-0.0051110797,-0.07235413,-0.20035432,-0.2557387,0.21956448,0.9291072,-0.22383969,0.061999142,-0.47061852,-0.15363748,-0.06088358,0.41223893,-0.39355323,-0.11286122,0.14521237,-0.41908795,0.51049703,0.14917582,-0.29450968,-0.50533324,0.12636863,-0.20085259,0.2548082,0.42372662,-0.243526,-0.2322952,0.08229916,0.0898551,0.063816026,-0.0068828785,0.0423605,0.41321453,-0.35119808,0.16081442,0.3968123,0.12540457,0.5257876,0.059385628,0.27365425,-0.33719128,0.04510412,0.33650842,0.09755655,-0.17478411,0.022750445
Interferon beta-1a,0.0021543838,0.077437066,-0.22482823,0.450344,0.1676507,-0.0031518508,0.1371663,-0.12619485,0.23076245,0.23000897,0.55062515,-0.30991825,0.045432415,-0.29517016,0.17014234,-0.23104683,0.28295195,-0.18569568,-0.34075445,-0.3598859,-0.37476832,0.13386486,0.12334586,-0.33503425,-0.31872502,0.2316952,-0.042825066,-0.059951913,-0.16361232,-0.22214778,0.21854271,-0.16356198,-0.32296124,0.12244381,-0.16959389,0.60050553,0.6176916,0.041889545,0.47210455,0.68614477,-0.21287665,1.1638123,-0.1359671,0.5344317,-0.42106107,0.48271078,0.27126744,-0.2520134,0.102915466,0.23907036
Interferon beta-1b,0.067469515,0.051196698,-0.2504305,0.44211626,0.29797596,0.2023775,0.21279982,0.02879944,0.11271893,0.20637424,0.5956165,-0.27799737,0.07402567,-0.37519076,0.16630031,-0.34803742,0.25986838,-0.25567344,-0.43210733,-0.2500707,-0.46125096,0.15854767,0.15262556,-0.36692297,-0.33036223,0.13482466,-0.112524666,-0.06187262,-0.2260277,-0.24743594,0.26236477,-0.08128054,-0.33501303,0.1732172,0.039829053,0.50757676,0.55826163,-0.011117717,0.53407234,0.6687649,-0.09839954,1.1871089,-0.2995851,0.5981876,-0.39799264,0.5388497,0.24978201,-0.11576785,0.08700323,0.21572536
Methotrexate,-0.063825674,-0.17915095,0.12949961,0.4190123,0.102787,0.42641374,0.29058218,0.21115275,0.33474916,0.36011082,0.2484079,-0.38120934,0.20019262,-0.33208945,-0.022665506,0.4010095,0.088292286,-0.46793273,-0.30256227,-0.07079184,-0.41223142,0.31690195,0.23508745,0.17540391,-0.14910913,0.22778097,-0.23136476,0.09437966,-0.309637,-0.28883275,0.2424354,-0.050615326,-0.23477952,-0.1060778,-0.01295382,0.40046707,0.9383321,-0.5107768,-0.19366989,0.3638715,0.3365813,0.51246995,-0.09802061,0.4246909,-0.23699915,-0.22030777,-0.18282564,-0.31598404,-0.5331891,-0.43705162
Pegaspargase,0.22964765,0.06504592,-0.43769768,-0.03883134,0.24372156,-0.050101772,0.008769698,-0.106672846,0.4517387,0.50430566,0.37596732,0.2739209,-0.1987323,-0.5534248,-0.10074002,0.03637721,0.20868957,-0.056740023,-0.17918895,0.13760294,-0.21670084,-0.05777239,0.057826918,-0.3700211,0.025823904,0.2885184,0.19040042,0.2918419,-0.24630588,-0.36511335,0.27594006,-0.49319097,-0.5025623,0.73260754,-0.33413607,0.1937448,0.29104564,0.19270805,0.048951082,0.5685784,-0.30852968,0.84841776,-0.4277756,0.18733153,-0.35422096,0.18299961,0.047325935,0.32433155,-0.21230426,-0.42650422
Tioguanine,0.069304,-0.038837336,-0.1784437,0.22344112,0.18947487,-0.031070702,0.25924012,-0.09772,0.044157457,0.5557235,0.53694683,-0.0520992,0.033017606,-0.47477642,-0.033061504,-0.108446136,0.25285846,-0.46197116,-0.09428269,-0.22512178,-0.37606728,0.3516102,0.21789517,-0.41528708,-0.35027525,0.13483614,-0.2036856,-0.022989491,-0.054562476,-0.23450066,0.14707984,-0.18794452,-0.3928648,0.30602497,-0.21680905,0.4208592,0.7626027,-0.20957954,0.18929993,0.8669425,-0.17212379,0.5417295,-0.17731507,0.21999359,-0.07073588,0.06864877,0.16098681,0.084661916,-0.25751922,-0.1848031
